name,price,discount,material,size,,images
Мечта,"198 500 
",128 500,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,3400х1600х2600х600,,mechta/1.jpg;mechta/2.jpg;mechta/3.jpg
Беркли,"147 800  
",90 900,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,200х2400х2600х600,,modern/1.jpg;modern/2.jpg
Неоклассика,"129 500  
",99 500,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,3000х1200х2500х600,,neoklassika/1.jpg;neoklassika/2.jpg;neoklassika/3.jpg
Довер,86 400,86 400,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,2700х800х2450х600,,provans/1.jpg;provans/2.jpg
Минимализм,"168 000 
",131 600,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,1600х2400х2600х600,,minimalizm/1.jpg;minimalizm/2.jpg;minimalizm/3.jpg
Интеграция,"159 500
",127 300,Корпус:ЛДСП EGGER;Фасады:Пластик,1200х2700х2500х600,,integratsija/1.jpg;integratsija/2.jpg;integratsija/3.jpg
Инновация,"135 500
",106 400,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,1200х2200х1200х2500х600,,innovatsija/1.jpg;innovatsija/2.jpg;innovatsija/3.jpg
Портал,"159 700
",132 000,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,1500х2500х2500х600,,portal/1.jpg;portal/2.jpg;portal/3.jpg
Инфинити,"129 850
",101 300,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,1500х2200х2600х600,,infiniti/1.jpg;infiniti/2.jpg
Эксперимент,"164 500
",138 000,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,2000х2000х2600х600,,eksperiment/1.jpg;eksperiment/2.jpg;eksperiment/3.jpg
Модерн,"138 400
",109 800,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,1500х3000х2600х600,,modern/1.jpg;modern/2.jpg;modern/3.jpg
Арт,"107 400
",87 600,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,2400х1500х2500х600,,art/1.jpg;art/2.jpg;art/3.jpg
Космос,"134 500
",94 600,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,1000х3000х2500х600,,kosmos/1.jpg;kosmos/2.jpg;kosmos/3.jpg;kosmos/4.jpg
Лаунж,"112 800
",84 900,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,2300х2000х2500х600,,launzh/1.jpg;launzh/2.jpg;launzh/3.jpg;launzh/4.jpg
Эксклюзив,"158 400
",114 900,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,1100х2000х2500х600,,ekskljuziv/1.jpg;ekskljuziv/2.jpg;ekskljuziv/3.jpg
Гилберт,"128 500
",97 600,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,3000х2600х600,,garmonija/1.jpg;garmonija/2.jpg;garmonija/3.jpg
Империя,"159 450
",112 700,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,4000х2600х600,,imperija/1.jpg;imperija/2.jpg
Гармония,"119 700
",105 000,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,2800х2500х600,,garmonija/1.jpg;garmonija/2.jpg;garmonija/3.jpg
Эдем,"122 500
",79 800,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,3000х2600х600,,edem/1.jpg;edem/2.jpg;edem/3.jpg
Мадрид,"124 500
",89 800,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,3100х2600х600,,madrid/1.jpg;madrid/2.jpg;madrid/3.jpg
Амстердам,"188 500
",89 310,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,3500х2500х600,,amsterdam/1.jpg;amsterdam/2.jpg;amsterdam/3.jpg
Шеффилд,"130 688
",101 700,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,2800х2600х600,,sheffild/1.jpg;sheffild/2.jpg
Умбрия,"147 000
",102 000,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,2800х2600х600,,umbrija/1.jpg;umbrija/2.jpg;umbrija/3.jpg
Нежность,"187 450
",116 543,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,2800х2600х600,,nezhnost'/1.jpg;nezhnost'/2.jpg;nezhnost'/3.jpg;nezhnost'/4.jpg
Виго,"127 900
",114 000,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,2000х1500х600,,vigo/1.jpg;vigo/2.jpg;vigo/3.jpg;vigo/4.jpg
Ньюри,"115 000
",95 000,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,,,n'juri/1.jpg;n'juri/2.jpg;n'juri/3.jpg
Прованс,"150 000  
",106 300,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,2200х1700х2600х600,,provans/1.jpg;provans/2.jpg;provans/3.jpg
Белфаст,"104 500 
",91 200,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,,,belfast/1.jpg;belfast/2.jpg
Каролина,"117 000
",94 500,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,,,karolina/1.jpg;karolina/2.jpg;karolina/3.jpg;karolina/4.jpg
Невада,"130 450
",118 000,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,,,nevada/1.jpg;nevada/2.jpg;nevada/3.jpg
Гвиана,"130 000
",98 500,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,,,gviana/1.jpg;gviana/2.jpg;gviana/3.jpg;gviana/4.jpg
Прато,"130 000
",105 000,Корпус:ЛДСП EGGER;Фасады:МДФ ПВХ,,,prato/1.jpg;prato/2.jpg;prato/3.jpg;prato/4.jpg
Сардиния,"118 200
",107 000,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,,,sardinija/1.jpg;sardinija/2.jpg;sardinija/3.jpg;sardinija/4.jpg
Лацио,"126 200
",103 700,Корпус:ЛДСП EGGER;Фасады:ЛДСП EGGER,,,latsio/1.jpg;latsio/2.jpg;latsio/3.jpg;latsio/4.jpg